image_id,text_en,text_id,label
862902619928506372,i am guessing # netflix no longer lets you grab screens of movies . that & the new rating system is so awesome . ,"Menurutku, #Netflix sepertinya nggak lagi mengizinkan kita mengambil tangkapan layar dari film. Itu dan sistem penilaian barunya keren banget. ",1
892551658487631873,it 's the insensitive strikeouts at suntrust park .  # braves # chopchop,Itu adalah strikeout yang mengecewakan di SunTrust Park.  #braves #chopchop,1
853143461360480256,"following the path of the river calder , so ... grim ... up .... north ","menyusuri aliran Sungai Calder, jadi... suram... ke... utara ",1
918423568823840768,# westernsahara # authority has no lessons 2get from countries of # humanrights high standards  # saharaoccidental # hirak # alhoceima,#sahara barat #pemerintah tidak perlu belajar apa pun dari negara-negara dengan #standar hak asasi manusia yang tinggi  #saharaoccidental #hirak #alhoceima,1
731617467718610944,hey <user> great sale ! ,"Hai <user>, obralnya keren banget! ",1
684633048483106816,dad 's handy work . can 't tell at all . ,Karya tangan ayah. Sama sekali nggak kelihatan. ,1
702345480924041217,it is a shame that <user> never kept up his twitter account . he had such pleasant views ,Sayang sekali <user> tidak pernah memperbarui akun Twitter-nya. Dia punya pandangan yang sangat menarik. ,1
859056671179636737,dump your furniture on the sidewalk & leave .  the city of # guelph will clean it up . # guelph # students # university of # guelph,buang furniturmu ke trotoar & pergi saja.  Pemerintah Kota #Guelph akan membersihkannya. #Guelph #mahasiswa #Universitas #Guelph,1
923929354610053120,hitting sure has changed in <num> years . ,Bermain bola memang sudah banyak berubah dalam <num> tahun terakhir. ,1
919651889511313408,leaving <num> degrees barcelona to come home for # opheliahurricane # yay  emoji_2306 emoji_2748 emoji_4941 emoji_2230 emoji_2306 emoji_2748 emoji_4941,meninggalkan Barcelona dengan suhu <num> derajat untuk pulang ke rumah karena #badaiOphelia #yay  emoji_2306 emoji_2748 emoji_4941 emoji_2230 emoji_2306 emoji_2748 emoji_4941,1
877816574240972802,hell yeah !  # funny # sleepwell # dreamon # fail,"Wah, bener banget!  # lucu # tidurnyenyak # mimpikan # gagal",1
806888630031622148,# inappropriatetimestogiggle all the damn time . ,# Waktu yang nggak pas buat ketawa-ketawa terus-terusan. ,1
712810737811505153,i could enter the olympics ! ;) rt <user> : ,Aku bisa ikut Olimpiade! ;) RT <pengguna> : ,1
894741372527411200,wow ! what a twist never saw that coming # ambrose # rollins # rawtoronto # raw ,Wow! Sungguh tak terduga! Aku sama sekali nggak nyangka #ambrose #rollins #rawtoronto #raw ,1
732682873166159872,how to make montages <num>  <user> <user>,cara membuat montase <num>  <pengguna> <pengguna>,1
722871462915235842,another well balanced champion . cool  # ggrito,Juara lain yang seimbang. Keren  # ggrito,1
839086335096942592,wouldn 't it be terrible if someone were to infiltrate this ? they might even film the event ! i would never want to see that happen . ,Bukankah akan sangat mengerikan kalau ada orang yang menyusup ke acara ini? Mereka bahkan mungkin merekam acaranya! Aku benar-benar tidak ingin hal itu terjadi. ,1
802576734117691392,clearly it 's not hard to tell how much i love pa  emoji_145,"Jelas sekali, nggak sulit untuk tahu seberapa besar aku mencintai Pa  emoji_145",1
939714200456318981,"out of entire route 95 , the worst roads are in nj . because you don 't pay your share of taxes , people ! ","Di sepanjang Jalan Raya 95, kondisi jalan terburuk ada di New Jersey. Itu karena kalian tidak membayar pajak sesuai kewajiban, orang-orang! ",1
884901385141190657,another great day of service # mbta ,Hari yang luar biasa lagi dalam memberikan layanan #mbta ,1
824024594755518464,"oh yes fios , let 's upgrade our wi-fi for even more $ $ & still be slower than many countries ! # # adamruinseverything ","Oh ya, Fios, ayo kita upgrade Wi-Fi kita dengan biaya yang lebih mahal lagi & tetap saja lebih lambat daripada di banyak negara! # # adamruinseverything ",1
895860997054799872,hahaha can 't wait for the teenage years . not !  # style,"Hahaha, nggak sabar nunggu masa remaja. Nggak!  # gaya",1
924449074568400896,larries out here living the treat people with kindness life . # eyeroll ,Orang-orang di sini menjalani hidup dengan memperlakukan orang lain dengan baik. #geleng-geleng kepala ,1
840225661117706240,"when you 're on high position , you can say such a things and still be legit # epa # climatechange  emoji_2166","kalau kamu ada di posisi tinggi, kamu bisa ngomong gitu dan tetap dianggap sah #epa #perubahaniklim  emoji_2166",1
821997332346437632,"damn ! we lurveee our new logo . wait , not ours , sarawak fa 's . ","Astaga! Kami suka banget logo baru kami. Tunggu, bukan milik kami, tapi milik Sarawak FA. ",1
863886502698156032,government # chemtrails poisoning smh .  # joking,"pemerintah # keracunan akibat jejak kimia, sungguh menyedihkan.  # bercanda",1
736082451424890881,when it 's 2nd april and she is still pregnant ..  <user> emoji_19 emoji_19 emoji_19,padahal sudah tanggal 2 April dan dia masih hamil ..  <user> emoji_19 emoji_19 emoji_19,1
821870486372155393,"well , this is going to be fun little project ...  # twitterhell","Wah, ini bakal jadi proyek kecil yang seru...  #twitterhell",1
914153415105753092,"would you rather ? .... watch <num> chick 's on cheat day , or listen to another political garbage game ? you decide . # saturday ","Mau pilih yang mana? .... Nonton <num> cewek di hari bebas diet, atau dengerin omong kosong politik lagi? Kamu yang putuskan. #Sabtu ",1
712023362784989184,pretzel sticks lay hours reacting with air and salt . they look like worms with disease . yum !  # pretzels,Stik pretzel dibiarkan berjam-jam bereaksi dengan udara dan garam. Mereka terlihat seperti cacing yang sakit. Enak! #pretzel,1
890941969404383232,"<user> <user> <user> is this true ? if yes , i will make any randon order in your support . # wellwisher # sincerecustomer ","<pengguna> <pengguna> <pengguna> Benarkah itu? Jika ya, saya akan melakukan pemesanan acak di layanan dukungan Anda. #pendukung #pelanggansetia ",1
920605091429797889,why do <user> wrap their soothers in this paper - great i now have scratchy paper tickling the back of my throat . just what i need ,"Kenapa sih <user> membungkus dotnya dengan kertas ini? — Bagus sekali, sekarang ada kertas yang kasar yang menggelitik bagian belakang tenggorokanku. Persis yang kubutuhkan. ",1
829756733916585984,true story # motivation # viral # truestory # socialmedia # funny ,kisah nyata # motivasi # viral # kisahnyata # media sosial # lucu ,1
755115255114629124,it looks like the # bodypositive types have found a home with # isis . ,Sepertinya para pendukung #bodypositive telah menemukan tempat yang cocok di #isis. ,1
